iter	Passed	Remaining
0	148	148351
1	154	76934
2	156	52171
3	159	39605
4	161	32094
5	163	27099
6	165	23511
7	167	20803
8	169	18702
9	171	17025
10	178	16027
11	180	14876
12	184	13997
13	186	13134
14	188	12410
15	191	11758
16	193	11181
17	195	10676
18	203	10529
19	205	10093
20	209	9744
21	210	9367
22	216	9217
23	219	8909
24	221	8629
25	224	8405
26	226	8159
27	231	8043
28	233	7830
29	236	7633
30	238	7465
31	240	7288
32	247	7245
33	251	7150
34	284	7839
35	286	7676
36	288	7513
37	294	7448
38	297	7337
39	300	7212
40	303	7090
41	308	7030
42	311	6933
43	313	6816
44	318	6748
45	333	6906
46	334	6791
47	350	6956
48	355	6901
49	357	6799
50	360	6699
51	362	6603
52	364	6510
53	366	6419
54	371	6381
55	373	6295
56	375	6212
57	377	6135
58	380	6062
59	384	6022
60	387	5959
61	389	5898
62	392	5840
63	395	5781
64	416	5998
65	419	5932
66	421	5864
67	423	5798
68	426	5750
69	428	5687
70	432	5659
71	435	5609
72	437	5560
73	440	5513
74	443	5471
75	447	5443
76	449	5392
77	451	5342
78	453	5292
79	455	5243
80	457	5194
81	461	5168
82	469	5181
83	471	5140
84	473	5097
85	475	5049
86	477	5015
87	479	4972
88	481	4929
89	483	4887
90	485	4850
91	487	4808
92	490	4783
93	492	4748
94	495	4716
95	496	4677
96	498	4640
97	500	4602
98	503	4583
99	505	4551
100	507	4519
101	510	4490
102	512	4467
103	518	4466
104	521	4442
105	523	4411
106	524	4381
107	529	4369
108	531	4342
109	533	4313
110	575	4612
111	578	4583
112	580	4554
113	582	4525
114	584	4497
115	586	4472
116	602	4549
117	610	4561
118	612	4534
119	614	4505
120	617	4488
121	619	4457
122	626	4469
123	650	4596
124	656	4598
125	659	4573
126	661	4544
127	665	4535
128	667	4509
129	669	4482
130	671	4456
131	673	4431
132	680	4437
133	682	4412
134	684	4388
135	687	4368
136	693	4365
137	719	4494
138	736	4559
139	744	4572
140	747	4551
141	750	4531
142	753	4514
143	758	4507
144	760	4482
145	762	4459
146	764	4435
147	768	4424
148	773	4419
149	775	4396
150	778	4375
151	781	4358
152	783	4336
153	787	4323
154	789	4304
155	791	4283
156	794	4263
157	796	4244
158	798	4225
159	804	4224
160	805	4198
161	807	4176
162	808	4153
163	810	4132
164	813	4117
165	819	4115
166	821	4098
167	827	4097
168	829	4078
169	835	4077
170	837	4059
171	839	4041
172	842	4025
173	844	4009
174	849	4006
175	851	3988
176	853	3969
177	855	3951
178	858	3935
179	860	3918
180	863	3908
181	865	3892
182	867	3874
183	869	3857
184	871	3841
185	873	3824
186	878	3818
187	880	3801
188	881	3784
189	883	3768
190	886	3754
191	888	3738
192	895	3744
193	901	3745
194	905	3738
195	911	3739
196	914	3726
197	919	3725
198	923	3719
199	926	3707
200	930	3696
201	932	3683
202	934	3669
203	939	3665
204	941	3651
205	944	3639
206	946	3624
207	947	3609
208	949	3593
209	953	3585
210	955	3571
211	956	3556
212	958	3540
213	959	3524
214	961	3509
215	962	3494
216	964	3480
217	970	3482
218	974	3473
219	976	3461
220	978	3447
221	980	3436
222	993	3460
223	995	3449
224	1003	3457
225	1005	3444
226	1007	3431
227	1018	3449
228	1022	3441
229	1025	3431
230	1028	3422
231	1033	3422
232	1036	3411
233	1073	3512
234	1075	3501
235	1083	3508
236	1088	3504
237	1093	3500
238	1098	3497
239	1100	3484
240	1103	3475
241	1105	3462
242	1112	3465
243	1115	3456
244	1118	3447
245	1121	3437
246	1124	3426
247	1129	3424
248	1133	3417
249	1134	3404
250	1136	3391
251	1138	3379
252	1141	3371
253	1143	3358
254	1144	3345
255	1146	3331
256	1147	3318
257	1149	3305
258	1151	3294
259	1153	3282
260	1155	3270
261	1157	3261
262	1161	3255
263	1163	3244
264	1165	3233
265	1167	3221
266	1168	3209
267	1173	3205
268	1175	3194
269	1177	3184
270	1179	3173
271	1181	3162
272	1187	3161
273	1189	3151
274	1191	3140
275	1193	3130
276	1195	3120
277	1197	3110
278	1199	3099
279	1202	3091
280	1204	3080
281	1205	3070
282	1207	3059
283	1249	3149
284	1251	3140
285	1254	3131
286	1256	3122
287	1259	3113
288	1262	3104
289	1268	3104
290	1270	3095
291	1272	3085
292	1274	3076
293	1277	3068
294	1280	3059
295	1339	3186
296	1341	3176
297	1346	3172
298	1349	3163
299	1351	3153
300	1354	3144
301	1356	3135
302	1362	3133
303	1364	3123
304	1366	3113
305	1368	3104
306	1370	3094
307	1372	3084
308	1382	3090
309	1384	3081
310	1386	3071
311	1388	3062
312	1393	3058
313	1395	3049
314	1397	3039
315	1399	3029
316	1404	3025
317	1408	3020
318	1410	3010
319	1438	3055
320	1440	3046
321	1442	3036
322	1443	3026
323	1446	3017
324	1448	3007
325	1450	2998
326	1456	2996
327	1458	2987
328	1471	3000
329	1473	2991
330	1475	2982
331	1478	2973
332	1480	2964
333	1482	2955
334	1486	2950
335	1488	2941
336	1490	2933
337	1494	2926
338	1496	2918
339	1502	2915
340	1504	2906
341	1506	2897
342	1508	2890
343	1510	2881
344	1512	2872
345	1524	2880
346	1526	2873
347	1528	2864
348	1532	2858
349	1540	2860
350	1543	2853
351	1547	2848
352	1550	2842
353	1553	2834
354	1560	2834
355	1565	2832
356	1567	2823
357	1569	2814
358	1572	2807
359	1575	2800
360	1585	2806
361	1587	2797
362	1591	2791
363	1593	2785
364	1596	2777
365	1598	2768
366	1600	2760
367	1631	2801
368	1633	2793
369	1639	2790
370	1641	2782
371	1643	2773
372	1645	2765
373	1647	2756
374	1648	2748
375	1653	2743
376	1655	2735
377	1657	2727
378	1659	2719
379	1661	2711
380	1663	2702
381	1669	2701
382	1672	2694
383	1675	2687
384	1677	2680
385	1680	2672
386	1688	2674
387	1691	2667
388	1694	2661
389	1698	2656
390	1701	2650
391	1703	2642
392	1705	2634
393	1723	2650
394	1725	2643
395	1727	2635
396	1733	2632
397	1735	2625
398	1739	2619
399	1740	2611
400	1743	2603
401	1746	2598
402	1748	2590
403	1750	2582
404	1752	2574
405	1754	2566
406	1756	2559
407	1775	2576
408	1779	2570
409	1782	2564
410	1784	2557
411	1788	2552
412	1791	2545
413	1792	2537
414	1794	2529
415	1796	2522
416	1798	2514
417	1800	2506
418	1804	2502
419	1852	2558
420	1855	2551
421	1857	2543
422	1859	2536
423	1861	2528
424	1863	2521
425	1865	2513
426	1870	2510
427	1872	2502
428	1874	2495
429	1876	2487
430	1878	2480
431	1880	2472
432	1885	2468
